X;CountryCode;TextileExchangeReg
Norfolk Island;NFK;Other
Nigeria;NGA;Other
Nicaragua;NIC;Other
Niue;NIU;Other
Netherlands;NLD;"Western Europe (excl_ DE)"
Norway;NOR;"Western Europe (excl_ DE)"
Nepal;NPL;Other
Nauru;NRU;Other
New Zealand;NZL;Other
Oman;OMN;Other
Pakistan;PAK;Pakistan
Panama;PAN;Other
Pitcairn;PCN;Other
Peru;PER;Other
Philippines;PHL;Other
Palau;PLW;Other
Papua New Guinea;PNG;Other
Poland;POL;Other
Puerto Rico;PRI;Other
Korea, Democratic People's Republic of;PRK;Other
Portugal;PRT;"Western Europe (excl_ DE)"
Paraguay;PRY;Other
Palestine, State of;PSE;Other
French Polynesia;PYF;Other
Qatar;QAT;Other
Reunion;REU;Other
Romania;ROU;Other
Russian Federation;RUS;Other
Rwanda;RWA;Other
Saudi Arabia;SAU;Other
Sudan;SDN;Other
Senegal;SEN;Other
Singapore;SGP;Other
South Georgia and the South Sandwich Islands;SGS;Other
Saint Helena, Ascension and Tristan da Cunha;SHN;Other
Svalbard and Jan Mayen;SJM;Other
Solomon Islands;SLB;Other
Sierra Leone;SLE;Other
El Salvador;SLV;Other
San Marino;SMR;Other
Somalia;SOM;Other
Saint Pierre and Miquelon;SPM;Other
Serbia;SRB;Other
South Sudan;SSD;Other
Sao Tome and Principe;STP;Other
Suriname;SUR;Other
Slovakia;SVK;Other
Slovenia;SVN;Other
Sweden;SWE;"Western Europe (excl_ DE)"
Swaziland;SWZ;Other
Sint Maarten (Dutch part);SXM;Other
Seychelles;SYC;Other
Syrian Arab Republic;SYR;Other
Turks and Caicos Islands;TCA;Other
Chad;TCD;Other
Togo;TGO;Other
Thailand;THA;Other
Tajikistan;TJK;Other
Tokelau;TKL;Other
Turkmenistan;TKM;Other
Timor-Leste;TLS;Other
Tonga;TON;Other
Trinidad and Tobago;TTO;Other
Tunisia;TUN;Other
Turkey;TUR;Other
Tuvalu;TUV;Other
Taiwan, Province of China;TWN;Taiwan
Tanzania, United Republic of;TZA;Other
Uganda;UGA;Other
Ukraine;UKR;Other
United States Minor Outlying Islands;UMI;Other
Uruguay;URY;Other
United States;USA;USA
Uzbekistan;UZB;Other
Holy See (Vatican City State);VAT;Other
Saint Vincent and the Grenadines;VCT;Other
Venezuela, Bolivarian Republic of;VEN;Other
Virgin Islands, British;VGB;Other
Virgin Islands, U.S.;VIR;Other
Viet Nam;VNM;Other
Vanuatu;VUT;Other
Wallis and Futuna;WLF;Other
Samoa;WSM;Other
Yemen;YEM;Other
South Africa;ZAF;Other
Zambia;ZMB;Other
Zimbabwe;ZWE;Other
